filename,xp1m,xp2,xp3,xp4
125.html,-1,و هنگامى كه به آنها گفته شود: «به سوى آنچه خدا نازل كرده، و به سوى پيامبر بياييد!»، مى گويند: «آنچه از پدران خود يافته ايم، ما را بس است!»; آيا اگر پدران آنها چيزى نمى دانستند، و هدايت نيافته بودند (باز از آنها پيروى مى كنند)؟! (104),بد است با آدمهای احمقی برخورد می‌کنید که حرف، حرف خودشان است. اصلا انجام ندهید.,در این معامله برای شما خیری نیست ترک کنید و الا گریبانتان را خواهد گرفت.
127.html,2,عيسى بن مريم عرض كرد: «خداوندا! پروردگارا! از آسمان مائده اى بر ما بفرست! تا براى اول و آخر ما، عيدى باشد، و نشانه اى از تو; و به ما روزى ده! تو بهترين روزى دهندگانى!» (114),بسیار خوب است حتما اقدام کنید صدقه به فقرا فراموش نشود.,سود خوبی نصیبتان می‌شود با توکل به‌خدا اقدام کنید فقرا را فراموش نکنید.
129.html,-1,و اگر او را فرشته اى قرارمى داديم، حتما وى را بصورت انسانى درمى آورديم; (باز به پندار آنان،) كار را بر آنها مشتبه مى ساختيم; همان طور كه آنها كار را بر ديگران مشتبه مى سازند! (9),بد است حرف و حدیث زیادی بر پا می‌شود ترک کنید که به صلاح شما نیست.,زیاد به ظواهر توجه نکنید اصلا معامله خوبی نیست ترکش کنید.
13.html,-1,و هنگامى را كه از شما پيمان گرفتيم كه خون هم را نريزيد; و يكديگر را از سرزمين خود، بيرون نكنيد. سپس شما اقرار كرديد; (و بر اين پيمان) گواه بوديد. (84),بد است انجام آن به ضرر شما خواهد بود و پشیمان خواهید شد.,به تعهدات خود عمل نمی‌کنند و دچار ضرر و زیان خواهید شد.
131.html,-1,(آنها در واقع پشيمان نيستند،) بلكه اعمال و نياتى را كه قبلا پنهان مى كردند، در برابر آنها آشكار شده (و به وحشت افتاده اند). و اگر بازگردند، به همان اعمالى كه از آن نهى شده بودند بازمى گردند; آنها دروغگويانند. (28),بد است دروغ و نیرنگ زیادی در این کار است انجام ندهید که پشیمان خواهید شد.,فریب و دروغ دیده می‌شود و سر شما کلاه می‌گذارند منصرف شوید.
133.html,2,و (به اين ترتيب،) دنباله (زندگى) جمعيتى كه ستم كرده بودند، قطع شد. و ستايش مخصوص خداوند، پروردگار جهانيان است. (45),بسیار خوب است اقدام کنید و برای شروع صدقه بدهید.,ان‌شاءالله پرسود است البته اگر دیگران بگذارند صدقه دهید و با توکل به‌خدا اقدام کنید.
135.html,-1,او كسى است كه (روح) شما را در شب (به هنگام خواب) مى گيرد; و از آنچه در روز كرده ايد، با خبر است; سپس در روز شما را (از خواب) برمى انگيزد; و (اين وضع همچنان ادامه مى يابد) تا سرآمد معينى فرا رسد; سپس بازگشت شما به سوى اوست; و سپس شما را از آنچه عمل مى كرديد، با خبر مى سازد. (60),بد است مشکلات و گرفتاری زیادی دارد و در صورت انجام به‌شدت پشیمان خواهید شد ترک کنید.,بعد از کلی دردسر و اذیت شدن در نهایت ضرر هم می‌کنید انجام ندهید.
137.html,-1,(به خاطر بياوريد) هنگامى را كه ابراهيم به پدرش ( عمويش) «آزر» گفت: «آيا بتهائى را معبودان خود انتخاب مى كنى؟! من، تو و قوم تو را در گمراهى آشكارى مى بينم.» (74),بد است تباهی و گمراهی نصیبتان خواهد شد حتما ترک کنید.,سودی نصیبتان نخواهد شد که هیچ باعث حرف و حدیث مردم و آبروریزی هم خواهد شد.
139.html,-1,آنها خدا را درست نشناختند كه گفتند: «خدا، هيچ چيز بر هيچ انسانى، نفرستاده است!» بگو: ; س خ للّهچه كسى كتابى را كه موسى آورد، نازل كرد؟! كتابى كه براى مردم، نور و هدايت بود; 0اما شما) آن را بصورت پراكنده قرارمى دهيد; قسمتى را آشكار، و قسمت زيادى را پنهان مى داريد; و مطالبى به شما تعليم داده شده كه نه شما و نه پدرانتان، از آن با خبر نبوديد!» بگو: ; س خ للّهخدا!» سپس آنها را در گفتگوهاى لجاجت آميزشان رها كن، تا بازى كنند! (91),بد است چیزی را از شما پنهان می‌کنند که در صورت دانستن انجام نخواهید داد ترکش کنید.,این معامله با فریب و نیرنگ همراه است و چیزی که در آن فریب و حیله باشد انجام ندادن به ثواب نزدیکتر است پس انجام ندهید.
141.html,1,(آرى،) اين است پروردگار شما! هيچ معبودى جز او نيست; آفريدگار همه چيز است; او را بپرستيد و او نگهبان و مدبر همه موجودات است. (102),خوب است با توکل به‌خدا اقدام کنید و در انجام واجبات دینی کوشا باشید.,با توکل به‌خدا و با حفظ موازین شرعی اقدام کنید ان‌شاءالله سود خواهید برد.
143.html,-1,چرا از چيزها ( گوشتها)ئى كه نام خدا بر آنها برده شده نمى خوريد؟! در حالى كه (خداوند) آنچه را بر شما حرام بوده، بيان كرده است! مگر اينكه ناچار باشيد; (كه در اين صورت، خوردن از گوشت آن حيوانات جايز است.) و بسيارى از مردم، به خاطر هوى و هوس و بى دانشى، (ديگران را) گمراه مى سازند; و پروردگارت، تجاوزكاران را بهتر مى شناسد. (119),بد است گرفتاری و مصیبت دارد انجام ندهید.,دچار ضرر و زیان خواهید شد آن هم پس از گرفتاری‌های زیاد انجام ندهید.
145.html,-1,و براى هر يك (از اين دو دسته)، درجات (و مراتبى) است از آنچه عمل كردند; و پروردگارت از اعمالى كه انجام مى دهند، غافل نيست. (132),بد است هر چند ظاهر دلفریبی دارد، در باطن بد است انجام ندهید.,در این معامله خیری نیست انجام ندهید.
147.html,0,هشت جفت از چهارپايان (براى شما) آفريد; از ميش دو جفت، و از بز دو جفت; بگو: «آيا خداوند نرهاى آنها را حرام كرده، يا ماده ها را؟ يا آنچه شكم ماده ها در برگرفته؟ اگر راست مى گوييد (و بر تحريم اينها دليلى داريد)، به من خبر دهيد!» (143),میانه خوب است با بررسی همه‌ی جوانب با اهل خبره اقدام کنید.,در صورت بررسی همه‌ی جوانب و تنظیم‌یک قرار داد با لحاظ همه‌ی مسائل خوب است و الا خیر.
149.html,-1,و به مال يتيم، جز به بهترين صورت (و براى اصلاح)، نزديك نشويد، تا به حد رشد خود برسد! و حق پيمانه و وزن را بعدالت ادا كنيد! -هيچ كس را، جز بمقدار تواناييش، تكليف نمى كنيم- و هنگامى كه سخنى مى گوييد، عدالت را رعايت نماييد، حتى اگر در مورد نزديكان (شما) بوده باشد و به پيمان خدا وفا كنيد، اين چيزى است كه خداوند شما را به آن سفارش مى كند، تا متذكر شويد! (152),بد است دچار مال حرام خواهید شد و تمام زندگیتان تحت تاثیر آن قرار خواهد گرفت ترک کنید.,مال حرام وارد زندگیتان می‌شود و شما را به نابودی می‌کشاند ترک کنید.
15.html,-1,بگو: «اگر آن (چنان كه مدعى هستيد) سراى ديگر در نزد خدا، مخصوص شماست نه ساير مردم، پس آرزوى مرگ كنيد اگر راست مى گوييد!» (94),بد است در صورت انجام پشیمان خواهید شد لذا ترک شود.,این معامله آن گونه که فکر می‌کنید منفعتی ندارد و حتی دچار ضرر خواهید شد ترک کنید.
151.html,2,المص (1),بسیار خوب است نترس و با توکل به‌خدا انجام بده.,با توکل به‌خدا انجام بده ان‌شاءالله که پر سود و منفعت است.
153.html,-1,گفتند: «پروردگارا! ما به خويشتن ستم كرديم! و اگر ما را نبخشى و بر ما رحم نكنى، از زيانكاران خواهيم بود!» (23),بد است انجام نده که جزو زیانکاران خواهی بود.,ضرر هنگفتی در اثر این معامله خواهید کرد اگرمنصرف نشوید والا دچار سختی و ناراحتی می‌شوی.
155.html,-1,(خداوند به آنها) مى گويد: «در صف گروه هاى مشابه خود از جن و انس در آتش وارد شويد!» هر زمان كه گروهى وارد مى شوند، گروه ديگر را لعن مى كنند; تا همگى با ذلت در آن قرار گيرند. (در اين هنگام) گروه پيروان درباره پيشوايان خود مى گويند: «خداوندا! اينها بودند كه ما را گمراه ساختند; پس كيفر آنها را از آتش دو برابر كن! (كيفرى براى گمراهيشان، و كيفرى بخاطر گمراه ساختن ما.)» مى فرمايد: «براى هر كدام (از شما) عذاب مضاعف است; ولى نمى دانيد! (چرا كه پيروان اگر گرد پيشوايان گمراه را نگرفته بودند، قدرتى بر اغواى مردم نداشتند.)» (38),بسیار بد است انجام ندهید که به‌شدت پشیمان خواهید شد.,این معامله سود که ندارد هیچ و ضرر هنگفتی هم نصیبتان خواهد شد، پس ترک کنید.
157.html,1,ما كتابى براى آنها آورديم كه (اسرار و رموز) آن را با آگاهى شرح داديم; (كتابى) كه مايه هدايت و رحمت براى جمعيتى است كه ايمان مى آورند. (52),خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله که نتیجه‌ی آن را خواهید دید.,خوب است با رعایت موازین شرعی اقدام کنید.
159.html,1,رسالتهاى پروردگارم را به شما ابلاغ مى كنم; و من خيرخواه امينى براى شما هستم. (68),خوب است با رعایت موازین شرعی و توکل به‌خدا اقدام کنید.,خوب است با قدری زحمت نتیجه‌ی خوبی حاصل خواهد شد.
161.html,-1,ولى پاسخ قومش چيزى جز اين نبود كه گفتند: «اينها را از شهر و ديار خود بيرون كنيد، كه اينها مردمى هستند كه پاكدامنى را مى طلبند (و با ما همصدا نيستند!)» (82),بد است دچار مشکلات و اذیت و آزار خواهید شد ترک کنید.,زحمت بسیاری دارد در آخر هم متوجه می‌شوید که ارزش نداشته است.
163.html,-1,و اگر اهل شهرها و آباديها، ايمان مى آوردند و تقوا پيشه مى كردند، بركات آسمان و زمين را بر آنها مى گشوديم; ولى (آنها حق را) تكذيب كردند; ما هم آنان را به كيفر اعمالشان مجازات كرديم. (96),بد است دچار مشکلات عدیده‌ای خواهید شد و در آخر مورد شماتت قرار خواهید گرفت.,به زحمت و مشکلاتش نمی‌ارزد ضمن آن که شما را فریب هم می‌دهند و حسابی ضرر خواهید کرد.
165.html,2,و گفتند: «ما به پروردگار جهانيان ايمان آورديم; (121),بسیار خوب است با توکل به‌خدا اقدام کنید.,کار پرسود و منفعتی است با توکل به‌خدا اقدام کنید.
167.html,-1,و بنى اسرائيل را (سالم) از دريا عبور داديم; (ناگاه) در راه خود به گروهى رسيدند كه اطراف بتهايشان، با تواضع و خضوع، گرد آمده بودند. (در اين هنگام، بنى اسرائيل) به موسى گفتند: س خ للّهتو هم براى ما معبودى قرار ده، همان گونه كه آنها معبودان (و خدايانى) دارند!» گفت: س خ للّهشما جمعيتى جاهل و نادان هستيد! (138),بد است با گروهی نادان برخورد خواهید نمود که به‌شدت از انجام کار پشیمان می‌شوید.,دچار ضرر و زیان می‌شوید آن هم بعد از کلی زحمت انجام ندهید.
169.html,-1,و هنگامى كه موسى خشمگين و اندوهناك به سوى قوم خود بازگشت، گفت: «پس از من، بد جانشينانى برايم بوديد (و آيين مرا ضايع كرديد)! آيا درمورد فرمان پروردگارتان (و تمديد مدت ميعاد او)، عجله نموديد (و زود قضاوت كرديد؟!)» سپس الواح را افكند، و سر برادر خود را گرفت (و با عصبانيت) به سوى خود كشيد; او گفت: «فرزند مادرم! اين گروه، مرا در فشار گذاردند و ناتوان كردند; و نزديك بود مرا بكشند، پس كارى نكن كه دشمنان مرا شماتت كنند و مرا با گروه ستمكاران قرار مده!» (150),بد است بعد از کلی زحمت به نتیجه‌ی دلخواه هم نمی‌رسید ترک کنید.,پس از زحمتهای فراوان مغبون هم خواهید شد پس همین الان فکرش را از سر بیرون کنید.
17.html,-1,هر حكمى را نسخ كنيم، و يا نسخ آن را به تاخير اندازيم، بهتر از آن، يا همانند آن را مى آوريم. آيا نمى دانستى كه خداوند بر هر چيز توانا است؟! (106),بد است صبر کنید و صدقه دهید و بدانید که خداوند بر هر کاری قادر و توانا است.,صبر کنید از این معامله بهتر به شما پیشنهاد می‌شود.
171.html,-1,ما آنها را به دوازده گروه -كه هر يك شاخه اى (از دودمان اسرائيل) بود - تقسيم كرديم. و هنگامى كه قوم موسى (در بيابان) از او تقاضاى آب كردند، به او وحى فرستاديم كه: «عصاى خود را بر سنگ بزن!» ناگهان دوازده چشمه از آن بيرون جست; آنچنان كه هر گروه، چشمه و آبشخور خود را مى شناخت. و ابر را بر سر آنها سايبان ساختيم; و بر آنها «من » و «سلوى » فرستاديم; (و به آنان گفتيم:) از روزيهاى پاكيزه اى كه به شما داده ايم، بخوريد! (و شكر خدا را بجا آوريد! آنها نافرمانى و ستم كردند; ولى) به ما ستم نكردند، لكن به خودشان ستم مى نمودند. (160),بد است پس از زحمتهای فراوان باز هم نتیجه‌ی مورد نظرتان حاصل نمی‌شود ترک کنید.,در‌یک کلام زحمت فراوان و بدون منفعت پس انجام ندهید.
173.html,-1,و (نيز به خاطر بياور) هنگامى كه كوه را همچون سايبانى بر فراز آنها بلند كرديم، آنچنان كه گمان كردند بر آنان فرود مى آمد; (و در همين حال، از آنها پيمان گرفتيم و گفتيم:) آنچه را (از احكام و دستورها) به شما داده ايم، با قوت (و جديت) بگيريد! و آنچه در آن است، به ياد داشته باشيد، (و عمل كنيد،) تا پرهيزگار شويد! (171),بد است زحمت بیهوده و سعی بی‌فایده و در آخر بدون نتیجه دلخواه پس ترکش کنید.,سعی زیاد - انسانهای نادان و دروغگو و ضرر و‌یک اعصاب خراب انجام مده.
175.html,-1,بگو: «من مالك سود و زيان خويش نيستم، مگر آنچه را خدا بخواهد; (و از غيب و اسرار نهان نيز خبر ندارم، مگر آنچه خداوند اراده كند;) و اگر از غيب باخبر بودم، سود فراوانى براى خود فراهم مى كردم، و هيچ بدى (و زيانى) به من نمى رسيد; من فقط بيم دهنده و بشارت دهنده ام براى گروهى كه ايمان مى آورند! (و آماده پذيرش حقند) (188),بد است دچار زیان و رنج خواهید شد و به‌شدت پشیمان خواهید شد ولی پشیمانی دیگر سودی ندارد.,مورد خوبی نیست دچار ضرر و زیان خواهید شد، ترک کنید.
177.html,1,از تو درباره انفال ( غنايم، و هرگونه مال بدون مالك مشخص) سؤال مى كنند ; بگو: «انفال مخصوص خدا و پيامبر است; پس، از (مخالفت فرمان) خدا بپرهيزيد! و خصومتهايى را كه در ميان شماست، آشتى دهيد! و خدا و پيامبرش را اطاعت كنيد اگر ايمان داريد! (1),خوب است با توکل به‌خدا اقدام کنید که به اهدافتان خواهید رسید.,معامله‌ی پر سود و منفعتی است موازین شرعی را رعایت کنید ضرر نمی‌کنید.
179.html,1,اين شما نبوديد كه آنها را كشتيد; بلكه خداوند آنها را كشت! واين تو نبودى (اى پيامبر كه خاك و سنگ به صورت آنها) انداختى; بلكه خدا انداخت! و خدا مى خواست مؤمنان را به اين وسيله امتحان خوبى كند; خداوند شنوا و داناست. (17),خوب است اگر به‌خدا اتکا داشته باشید خداوند هم شما را یاری خواهد کرد.,با توکل به‌خدا و رعایت موازین شرعی اقدام کنید ان‌شاءالله سود خوبی خواهید داشت.
181.html,-1,چرا خدا آنها را مجازات نكند، با اينكه از (عبادت موحدان در كنار) مسجد الحرام جلوگيرى مى كنند در حالى كه سرپرست آن نيستند؟! سرپرست آن، فقط پرهيزگارانند; ولى بيشتر آنها نمى دانند. (34),بد است انجام ندهید که پشیمان خواهید شد.,در این معامله به حرام می‌افتید و مشکلاتی برایتان ایجاد می‌شود ترکش کنید.
183.html,-1,و (فرمان) خدا و پيامبرش را اطاعت نماييد! و نزاع (و كشمكش) نكنيد، تا سست نشويد، و قدرت (و شوكت) شما از ميان نرود! و صبر و استقامت كنيد كه خداوند با استقامت كنندگان است! (46),بد است باعث اختلاف و تفرقه می‌شوید و در اهدافتان شکست می‌خورید.,بد است ضرر خواهید کرد صبر کنید ان‌شاءالله مورد بهتری به‌شما پیشنهاد خواهد شد.
185.html,1,و اگر بخواهند تو را فريب دهند، خدا براى تو كافى است; او همان كسى است كه تو را، با يارى خود و مؤمنان، تقويت كرد... (62),خوب است خداوند پشتیبان شماست نگران نباشید اقدام کنید.,ان‌شاءالله و با‌یاری خدا معامله‌ی پرسودی خواهد بود اقدام کنید.
187.html,-1,(اين، اعلام) بيزارى از سوى خدا و پيامبر او، به كسانى از مشركان است كه با آنها عهد بسته ايد!(1),بسیار بد است به‌هیچ‌وجه انجام ندهید.,هم خطر مالی و هم آبرویی دارد حتما ترک کنید.
189.html,1,با آنها پيكار كنيد، كه خداوند آنان را به دست شما مجازات مى كند; و آنان را رسوا مى سازد; و سينه گروهى از مؤمنان را شفا مى بخشد(; و بر قلب آنها مرهم مى نهد) (14),خوب است با توکل به‌خدا اقدام کنید.,معامله‌ی پرسودی خواهد بود با توکل به‌خدا اقدام نمایید تا موفقیتتان تضمین گردد.
19.html,-1,هرگز يهود و نصارى از تو راضى نخواهند شد، (تا به طور كامل، تسليم خواسته هاى آنها شوى، و) از آيين (تحريف يافته) آنان، پيروى كنى. بگو: «هدايت، تنها هدايت الهى است!» و اگر از هوى و هوسهاى آنان پيروى كنى، بعد از آنكه آگاه شده اى، هيچ سرپرست و ياورى از سوى خدا براى تو نخواهد بود. (120),بد است زحمت بیهوده می‌کشی و فایده‌ای نخواهی برد.,بد است طرفهای شما قصد فریب شما را دارند و به شما ضرر خواهد رساند.
191.html,2,سپس خداوند -بعد از آن- توبه هر كس را بخواهد (و شايسته بداند)، مى پذيرد; و خداوند آمرزنده و مهربان است. (27),بسیار خوب است با توکل به‌خدا اقدام نمایید.,معامله‌ی پرمنفعتی است به‌شرط موازین شرعی را رعایت کنی.
193.html,-1,نسى ء ( جا به جا كردن و تاخير ماه هاى حرام)، افزايشى در كفر (مشركان)است; كه با آن، كافران گمراه مى شوند; يك سال، آن را حلال، و سال ديگر آن را حرام مى كنند، تا به مقدار ماه هايى كه خداوند تحريم كرده بشود (و عدد چهار ماه، به پندارشان تكميل گردد); و به اين ترتيب، آنچه را خدا حرام كرده، حلال بشمرند. اعمال زشتشان در نظرشان زيبا جلوه داده شده; و خداوند جمعيت كافران را هدايت نمى كند! (37),بد است، منصرف شوید که نفع شما در آن است.,از این امر که سودی نصیبتان نخواهد شد ولی ضرر وجود دارد.
195.html,-1,آنها پيش از اين (نيز) در پى فتنه انگيزى بودند، و كارها را بر تو دگرگون ساختند (و به هم ريختند); تا آن كه حق فرا رسيد، و فرمان خدا آشكار گشت (و پيروز شديد)، در حالى كه آنها كراهت داشتند. (48),بد است به سختی و عذاب می‌افتید و خیری در آن نیست.,بعضی مسائل را از شما مخفی می‌کنند که در صورت آگاهی از آن اصلا انجام نمی‌دهید.
197.html,-1,آنها براى شما به خدا سوگند ياد مى كنند، تا شما را راضى سازند; در حالى كه شايسته تر اين است كه خدا و رسولش را راضى كنند، اگر ايمان دارند! (62),بد است موضوع آن چیزی نیست که شما می‌بینید حتما ترک کنید.,در این معامله منفعتی وجود ندارد و ناخواسته مرتکب حرام هم خواهید شد انجام ندهید.
199.html,-1,اى پيامبر! با كافران و منافقان جهاد كن، و بر آنها سخت بگير! جايگاهشان جهنم است; و چه بد سرنوشتى دارند! (73),بد است به‌هیچ‌وجه انجام ندهید که به‌شدت پشیمان خواهید شد.,ضرر هنگفتی خواهید دید ترک کنید.
201.html,-1,(آرى،) آنها راضى شدند كه با متخلفان باشند; و بر دلهايشان مهر نهاده شده; از اين رو (چيزى) نمى فهمند! (87),بد است ترک آن به ثواب نزدیکتر است.,انجام ندهید بهتر است. سود خوبی نخواهید برد در حالیکه زحمت زیادی خواهید کشید.
203.html,2,پيشگامان نخستين از مهاجرين و انصار، و كسانى كه به نيكى از آنها پيروى كردند، خداوند از آنها خشنود گشت، و آنها (نيز) از او خشنود شدند; و باغهايى از بهشت براى آنان فراهم ساخته، كه نهرها از زير درختانش جارى است; جاودانه در آن خواهند ماند; و اين است پيروزى بزرگ! (100),بسیار خوب است با توکل به‌خدا اقدام کنید.,ان‌شاءالله که سود خوبی خواهید برد به شرط آنکه موازین شرعی را رعایت کنید.
205.html,1,توبه كنندگان، عبادت كاران، سپاسگويان، سياحت كنندگان، ركوع كنندگان، سجده آوران، آمران به معروف، نهى كنندگان از منكر، و حافظان حدود (و مرزهاى)الهى، (مؤمنان حقيقى اند) ; و بشارت ده به (اينچنين) مؤمنان! (112),خوب است به شرط آنکه موازین شرعی را رعایت کنید.,خوب است به‌شرط آنکه موازین شرعی را رعایت کنید.
207.html,1,اى كسانى كه ايمان آورده ايد! با كافرانى كه به شما نزديكترند، پيكار كنيد! (و دشمن دورتر، شما را از دشمنان نزديك غافل نكند!) آنها بايد در شما شدت و خشونت (و قدرت) احساس كنند; و بدانيد خداوند با پرهيزگاران است! (123),خوب است با عزم و اراده انجام دهید موفق می‌شوید.,با رعایت تمامی جوانب اقدام نمایید سپس انجام دهید آن هم محکم و مصمم و ترس را از خود دور کنید.
